transmitter_id,transmitter_deployment_id,measurement_type,measurement_value,measurement_unit,comments
A69-9001-54409,323392103,FORK LENGTH,193.0,cm,
A69-9001-54409,323392103,TOTAL LENGTH,237.0,cm,
A69-9001-48621,375994202,TOTAL LENGTH,170.0,cm,
A69-9001-48620,375994415,TOTAL LENGTH,233.0,cm,
A69-9001-48620,375994415,FORK LENGTH,188.0,cm,
A69-9001-48608,375994234,TOTAL LENGTH,178.0,cm,
A69-9001-48595,375994458,TOTAL LENGTH,207.0,cm,
A69-9001-48595,375994458,FORK LENGTH,168.0,cm,
A69-9001-48586,323391951,TOTAL LENGTH,240.0,cm,
